Date,Close,High,Low,Open,Volume
07/05/2020,7.591983795,7.655235729,7.503580515,7.55487923,373732000
08/05/2020,7.781988144,7.788213639,7.629834697,7.663701829,339216000
11/05/2020,8.033999443,8.08081581,7.748369066,7.777006722,469060000
12/05/2020,7.772027016,8.140581862,7.762315205,8.091773445,493060000
13/05/2020,7.749615192,8.046948978,7.56508841,7.886577992,625852000
14/05/2020,7.999138355,8.004616716,7.657477486,7.811125227,602312000
15/05/2020,8.457590103,8.46730144,7.843248551,7.858936971,987660000
18/05/2020,8.716076851,8.88167781,8.646599418,8.726286912,774460000
19/05/2020,8.771111488,9.05200977,8.728528085,8.75592084,717320000
20/05/2020,8.934968948,9.00768381,8.854036071,8.955886844,587536000
21/05/2020,8.740979195,9.017145749,8.703376382,9.016150202,761068000
22/05/2020,8.990998268,9.057488103,8.679220949,8.790783052,1038764000
26/05/2020,8.683701515,9.145890014,8.638130531,9.120987084,770780000
27/05/2020,8.49195385,8.599033119,7.965517427,8.591313829,1175892000
28/05/2020,8.453853607,8.726284915,8.346523547,8.379394654,734896000
29/05/2020,8.840837479,8.840837479,8.451862463,8.521091009,745256000
01/06/2020,8.771859169,8.80622456,8.65556534,8.798754153,389876000
02/06/2020,8.790781975,8.802735191,8.624185502,8.761895905,391320000
03/06/2020,8.735248566,8.831620946,8.666020044,8.787793124,365440000
04/06/2020,8.73624897,8.912388272,8.647555392,8.697881043,424280000
05/06/2020,8.88921833,8.965952279,8.677950021,8.764151688,481748000
08/06/2020,8.774617195,8.859073976,8.65577839,8.846617299,387736000
09/06/2020,9.014782906,9.078313178,8.721050789,8.769632483,468488000
10/06/2020,9.334424973,9.467215361,9.121910742,9.136112317,632180000
11/06/2020,8.76589489,9.229289398,8.755680171,9.118423393,583652000
12/06/2020,8.901676178,9.155547354,8.673217305,9.130883003,570908000
15/06/2020,9.142090797,9.150561562,8.713574447,8.784828472,400004000
16/06/2020,9.037205696,9.234772337,8.808248844,9.193166454,535716000
17/06/2020,9.204128265,9.26691059,9.038949737,9.082300524,408304000
18/06/2020,9.186189651,9.250466921,9.083046459,9.195158418,254408000
19/06/2020,9.229290009,9.41240606,9.195407894,9.210605473,524160000
22/06/2020,9.493875504,9.498360363,9.241250275,9.267908531,398468000
23/06/2020,9.417388916,9.609224734,9.375036035,9.518040209,375108000
24/06/2020,9.203629494,9.523521852,9.112942971,9.443548049,449372000
25/06/2020,9.457249641,9.472198218,9.150561942,9.323463252,376072000
26/06/2020,9.123407364,9.467217093,9.093511155,9.467217093,592084000
29/06/2020,9.168250084,9.172734942,8.869285211,9.138104881,342248000
30/06/2020,9.464974403,9.493375657,9.234522616,9.281858356,367892000
01/07/2020,9.497112274,9.54270501,9.380516407,9.487894507,326648000
02/07/2020,9.579080582,9.703898235,9.545197513,9.605737886,364056000
06/07/2020,9.805294037,9.87455416,9.678981463,9.708130665,315892000
07/07/2020,9.837682724,10.03524839,9.816755286,9.91192571,357800000
